port,attempts
,28
40288,25
32810,3
34650,3
41152,3
43788,3
50066,3
51730,3
53356,3
56608,3
57902,3
11944,2
16882,2
33104,2
34158,2
34242,2
34300,2
34450,2
34618,2
34634,2
35080,2
35086,2
35386,2
35540,2
35824,2
36042,2
36312,2
36338,2
36372,2
36448,2
36762,2
37002,2
37098,2
37740,2
37806,2
37820,2
38234,2
38320,2
39088,2
39388,2
39806,2
39908,2
40394,2
40810,2
41130,2
41254,2
41268,2
41406,2
41548,2
41794,2
41796,2
41924,2
42064,2
42104,2
42110,2
42230,2
42394,2
42422,2
42778,2
42920,2
43068,2
43122,2
43854,2
44264,2
44372,2
44746,2
45460,2
45494,2
45500,2
45610,2
45616,2
45624,2
45632,2
45672,2
45768,2
46252,2
46286,2
46336,2
46688,2
46706,2
46884,2
47062,2
47198,2
47400,2
47556,2
47566,2
47646,2
47654,2
47732,2
48088,2
48160,2
48170,2
48200,2
48236,2
48588,2
49078,2
49282,2
49344,2
49346,2
49442,2
49494,2
49502,2
49924,2
50008,2
50038,2
50104,2
50346,2
50510,2
50542,2
50600,2
51008,2
51174,2
51316,2
51430,2
51552,2
51668,2
52704,2
52832,2
52894,2
52914,2
52930,2
52938,2
52992,2
53050,2
53644,2
53890,2
53926,2
53948,2
54088,2
54350,2
54450,2
54498,2
54564,2
54726,2
54936,2
54950,2
55136,2
55188,2
55196,2
55242,2
55494,2
55972,2
56144,2
56196,2
56232,2
56238,2
56302,2
56396,2
56456,2
56896,2
56918,2
56934,2
57008,2
57020,2
57132,2
57206,2
57318,2
57354,2
57360,2
57410,2
57472,2
57588,2
57698,2
57922,2
57938,2
58138,2
58178,2
58240,2
58268,2
58354,2
58784,2
58934,2
59036,2
59358,2
59658,2
59844,2
60132,2
60312,2
60318,2
60560,2
60596,2
60988,2
61242,2
6464,2
10208,1
10288,1
10300,1
10338,1
10488,1
10600,1
10608,1
10612,1
10626,1
10800,1
10920,1
1110,1
11258,1
11294,1
11326,1
11376,1
11386,1
11711,1
11768,1
11784,1
11787,1
11832,1
11834,1
11848,1
11916,1
11942,1
11964,1
12014,1
12018,1
12035,1
12132,1
12144,1
12210,1
12216,1
12418,1
12442,1
12502,1
12579,1
12668,1
12676,1
12746,1
12764,1
12840,1
13206,1
13320,1
13382,1
13386,1
13387,1
13664,1
13690,1
13850,1
13874,1
14082,1
14208,1
14238,1
14534,1
14706,1
14802,1
14902,1
14916,1
15088,1
15089,1
15090,1
15091,1
15092,1
15093,1
15094,1
15096,1
15097,1
15098,1
15099,1
15100,1
15102,1
15103,1
15104,1
15105,1
15106,1
15107,1
15108,1
15109,1
15110,1
15111,1
15112,1
15113,1
15114,1
15116,1
15117,1
15148,1
15195,1
15352,1
15508,1
15642,1
15734,1
15790,1
15816,1
1584,1
15878,1
15894,1
15912,1
15926,1
15946,1
15950,1
16044,1
16074,1
16142,1
16368,1
16600,1
16696,1
16762,1
16788,1
16840,1
16876,1
16898,1
16968,1
17014,1
17024,1
17202,1
17228,1
17464,1
17664,1
17726,1
17728,1
17824,1
18022,1
18218,1
18300,1
18502,1
1854,1
18672,1
18682,1
1870,1
19076,1
19286,1
19300,1
19360,1
19570,1
19602,1
19664,1
19716,1
19723,1
19812,1
19816,1
19856,1
19876,1
19972,1
20040,1
20278,1
20398,1
20428,1
20448,1
20614,1
20852,1
2098,1
21096,1
21144,1
2116,1
2142,1
21456,1
2146,1
21466,1
21512,1
21730,1
21766,1
21778,1
21812,1
21896,1
21982,1
22120,1
22160,1
22220,1
22222,1
22316,1
22390,1
22602,1
22626,1
22636,1
22662,1
22740,1
22774,1
22836,1
22840,1
22906,1
22916,1
22986,1
23012,1
23114,1
23144,1
23348,1
23422,1
23450,1
23496,1
23590,1
23628,1
2364,1
23640,1
23706,1
23726,1
23736,1
23762,1
23794,1
23934,1
24296,1
24312,1
24392,1
24406,1
24502,1
24518,1
24662,1
24710,1
24714,1
24824,1
25000,1
25082,1
25300,1
25310,1
25344,1
25380,1
25388,1
25494,1
25540,1
25848,1
25912,1
25942,1
25982,1
26038,1
26066,1
26116,1
26222,1
26230,1
26260,1
26674,1
26948,1
27224,1
27230,1
27246,1
27274,1
27418,1
27566,1
2758,1
2770,1
27734,1
27808,1
27936,1
27948,1
28230,1
28442,1
28452,1
28478,1
28572,1
28616,1
28702,1
28712,1
29162,1
29206,1
29360,1
29622,1
29652,1
29858,1
29896,1
30134,1
30198,1
30218,1
30260,1
30268,1
30344,1
30600,1
30758,1
30898,1
30914,1
30950,1
31154,1
31274,1
31346,1
3146,1
31468,1
31474,1
31478,1
31506,1
31670,1
31672,1
31902,1
31968,1
31998,1
32102,1
32116,1
32260,1
32390,1
32432,1
32606,1
32772,1
32780,1
32804,1
32808,1
32812,1
32816,1
32822,1
32832,1
32852,1
32872,1
32892,1
32894,1
32902,1
32906,1
32916,1
32942,1
32952,1
32954,1
32958,1
32966,1
32968,1
32974,1
32976,1
32986,1
32988,1
32998,1
33000,1
33008,1
33016,1
33018,1
33024,1
33062,1
33088,1
33105,1
33114,1
33118,1
33120,1
33124,1
33142,1
33158,1
33232,1
33262,1
33270,1
33284,1
33294,1
33304,1
33310,1
33330,1
33340,1
33350,1
33366,1
33414,1
33426,1
33446,1
33494,1
33498,1
33508,1
33522,1
33536,1
33538,1
33566,1
33568,1
33570,1
33586,1
33660,1
33682,1
33724,1
33730,1
33742,1
33762,1
33816,1
33842,1
33862,1
33864,1
33866,1
33880,1
33906,1
33910,1
33918,1
33920,1
33950,1
33968,1
33996,1
34007,1
34014,1
34024,1
34072,1
34098,1
34132,1
34168,1
34172,1
34190,1
34198,1
34224,1
34226,1
34232,1
34236,1
34252,1
34260,1
34268,1
34274,1
34276,1
34284,1
34308,1
34320,1
34330,1
34336,1
34358,1
34390,1
34394,1
